,update
0,0.045864142495853
1,0.017180836288295476
2,0.0101907655951494
3,0.0315680805006663
4,0.058047801279292044
5,0.07910609424977812
6,0.09346928917885577
7,0.09544991243217639
8,0.10978600108549502
9,0.12367420224688688
10,0.12403148845318938
11,0.14283901659579393
12,0.14047854071146743
13,0.14046584147805227
14,0.15240789565907387
15,0.1686668295539128
16,0.16893545805612648
17,0.18251671098867076
18,0.18897452082053112
19,0.18671052323270879
20,0.19514337985735863
21,0.20051756391532377
22,0.19525973406913102
23,0.21469095544628192
24,0.20677506166765905
25,0.20704541357509698
26,0.18381329791587464
27,0.19789874645590955
